dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
segment0,logistic_regression,xgboost,none,none,0.0,True,True,5.788029100000001,0.3763151000000002,5.411714000000001,93.49838963318274
shuttle-c0-vs-c4,logistic_regression,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,3.4081883999999985,0.5004019,2.9077864999999985,85.31765732199545
vehicle2,logistic_regression,xgboost,none,ros,0.0097836710296483,False,False,2.9005068000000014,0.3685033000000004,2.532003500000001,87.29520992676176
vowel0,logistic_regression,xgboost,smote,none,0.0588865532813794,False,False,2.2967455999999977,0.1878190999999986,2.108926499999999,91.82238119885811
wisconsin,logistic_regression,xgboost,smote_tomek,smote_enn,0.0017541605583036,False,False,1.2072141000000007,0.2106823999999996,0.9965317000000011,82.54805009318567
yeast1,logistic_regression,xgboost,smote_tomek,rus,0.0077365045042646,False,False,2.0565516000000006,0.4909907000000002,1.5655609000000004,76.1255346085165
ecoli-0_vs_1,decision_tree,xgboost,none,smote_enn,0.0197429799218161,False,False,0.7773905000000008,0.1590112999999995,0.6183792000000012,79.54550512258648
glass1,decision_tree,xgboost,smote_enn,none,0.0673993159717691,False,True,0.7398563999999996,0.1206399000000004,0.6192164999999993,83.69414659385248
haberman,decision_tree,xgboost,smote_enn,smote_enn,0.0,True,True,0.6776106999999986,0.1094745000000001,0.5681361999999984,83.84404201409447
iris0,decision_tree,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,0.9672043000000058,0.1019786000000024,0.8652257000000034,89.45635374036264
page-blocks0,decision_tree,xgboost,adasyn,none,0.0151573023801881,False,True,7.595065100000003,1.1676313,6.427433800000003,84.62644777067152
pima,decision_tree,xgboost,none,smote_enn,0.0297209746565257,False,True,1.4682680999999986,0.1650589,1.3032091999999986,88.75825879483453
segment0,decision_tree,xgboost,none,adasyn,0.0043849298145633,False,True,5.426655400000001,0.3328682,5.093787200000001,93.866052375465
shuttle-c0-vs-c4,decision_tree,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,2.1616400000000002,0.2338208999999995,1.9278191000000007,89.1831711108233
vehicle2,decision_tree,xgboost,adasyn,none,0.0047011386787543,False,False,1.5138356999999996,0.1679624000000004,1.3458732999999992,88.90484614677798
vowel0,decision_tree,xgboost,none,adasyn,0.0315906186252693,False,False,1.0065831999999975,0.0795946,0.9269885999999975,92.09259602186883
wisconsin,decision_tree,xgboost,smote_enn,none,0.0063400093606426,False,True,0.9080225999999996,0.1703713999999996,0.7376512,81.2370969621241
yeast1,decision_tree,xgboost,smote_enn,none,0.0091555799781563,False,True,2.4684808,0.5484498000000002,1.9200309999999998,77.78188916843104
ecoli-0_vs_1,random_forest,xgboost,adasyn,none|ros|smote_enn,0.0148497924919828,False,True,24.150073400000004,3.3811057000000027,20.7689677,85.99960487076615
glass1,random_forest,xgboost,smote_enn,ros,0.0779389794333992,False,False,28.071075199999996,4.714617400000002,23.356457799999994,83.20471386860164
haberman,random_forest,xgboost,smote,smote_enn,0.1065802330295101,False,False,25.6776669,4.027326799999999,21.6503401,84.31583828980975
iris0,random_forest,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.793170899999996,4.362116699999998,19.4310542,81.66651801757118
page-blocks0,random_forest,xgboost,smote_tomek,none,0.0086752355625737,False,False,38.514595,7.165259599999999,31.3493354,81.3959887154467
pima,random_forest,xgboost,smote,smote_enn,0.008956020684214,False,False,29.841652900000007,5.3624829,24.479170000000007,82.03020818595475
segment0,random_forest,xgboost,none,adasyn,0.0018084850967962,False,False,33.744479600000005,3.2022751000000014,30.542204500000004,90.51022526363097
shuttle-c0-vs-c4,random_forest,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.252858400000004,3.1392646999999982,20.113593700000006,86.49944602079546
vehicle2,random_forest,xgboost,none,none,0.0,True,True,26.958349599999995,3.948806399999999,23.009543199999996,85.35219529907721
vowel0,random_forest,xgboost,adasyn,none,0.0507342377684669,False,True,18.800692899999998,2.7080026000000004,16.092690299999997,85.59626172075816
wisconsin,random_forest,xgboost,adasyn,smote_tomek,0.0096349253381279,False,True,30.321272399999998,3.0693589999999986,27.2519134,89.87720911078917
yeast1,random_forest,xgboost,smote_enn,smote_tomek,0.0388621127551078,False,True,29.201667399999995,3.790132399999997,25.411534999999997,87.02083566639075
ecoli-0_vs_1,xgboost,xgboost,adasyn,smote_enn,0.0148497924919828,False,False,7.87697159999999,1.0988431999999977,6.778128399999993,86.04992812212248
glass1,xgboost,xgboost,smote_enn,ros,0.0941423807669277,False,True,9.6801854,1.3186219000000037,8.361563499999995,86.37813383202347
haberman,xgboost,xgboost,ros,smote_enn,0.082013642164018,False,True,8.419521400000008,1.4859182000000004,6.933603200000007,82.35151228429683
iris0,xgboost,xgboost,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,6.3298311,0.983847400000002,5.345983699999998,84.45697231952994
page-blocks0,xgboost,xgboost,adasyn,none,0.01798818029755,False,False,34.46027029999999,5.967174700000001,28.49309559999999,82.68390048002613
pima,xgboost,xgboost,ros,none,0.0027396282655665,False,False,10.513094800000012,1.303745900000003,9.209348900000009,87.59883816514238
